CustomerID,Recency,Frequency,Monetary,Country,R_Score,F_Score,M_Score,Segment
10000,133,9,1152.36,United Kingdom,2,5,5,Can't Lose Them
10001,44,11,1038.44,United Kingdom,5,5,5,Champions
10002,186,7,829.4300000000001,United Kingdom,1,3,5,At Risk
10003,75,2,53.56999999999999,Australia,4,1,1,Promising
10004,132,7,817.91,United Kingdom,2,3,5,At Risk
10005,138,5,639.18,Switzerland,2,2,4,Others
10006,35,9,521.68,United Kingdom,5,5,3,Loyal Customers
10007,86,7,888.38,Austria,4,3,5,Loyal Customers
10008,150,5,369.54,United Kingdom,2,2,2,Hibernating
10009,194,4,380.90999999999997,Germany,1,1,2,Lost
10010,168,7,545.15,United Kingdom,1,3,3,At Risk
10011,100,4,299.97,United Kingdom,4,1,1,Promising
10012,120,5,390.51,United Kingdom,3,2,2,Needs Attention
10013,158,6,703.71,France,2,3,4,At Risk
10014,57,5,184.3,United Kingdom,5,2,1,Others
10015,164,2,66.85000000000001,Italy,1,1,1,Lost
10016,132,8,511.93,France,2,4,3,Can't Lose Them
10017,190,6,702.65,United Kingdom,1,3,4,At Risk
10018,113,3,382.42,USA,3,1,2,Others
10019,136,5,413.98999999999995,Italy,2,2,2,Hibernating
10020,25,8,427.88,Finland,5,4,2,Loyal Customers
10021,93,4,346.38,Sweden,4,1,2,Promising
10022,42,9,294.71000000000004,Italy,5,5,1,Loyal Customers
10023,105,2,84.37,United Kingdom,3,1,1,Others
10024,226,4,404.35,Japan,1,1,2,Lost
10025,52,4,288.0,United Kingdom,5,1,1,Recent Customers
10026,68,4,487.34999999999997,United Kingdom,5,1,3,Recent Customers
10027,139,6,324.28,Denmark,2,3,2,At Risk
10028,130,3,489.88,Austria,2,1,3,Others
10029,101,10,827.37,United Kingdom,3,5,5,Needs Attention
10030,127,4,274.69,France,3,1,1,Others
10031,60,9,852.79,United Kingdom,5,5,5,Champions
10032,155,3,116.71000000000001,United Kingdom,2,1,1,Hibernating
10033,33,6,785.83,United Kingdom,5,3,4,Loyal Customers
10034,38,6,382.64,United Kingdom,5,3,2,Loyal Customers
10035,124,11,1278.21,United Kingdom,3,5,5,Needs Attention
10036,58,7,682.43,United Kingdom,5,3,4,Loyal Customers
10037,115,4,249.34,United Kingdom,3,1,1,Others
10038,118,6,911.12,United Kingdom,3,3,5,Needs Attention
10039,73,8,528.52,Australia,4,4,3,Loyal Customers
10040,120,6,552.14,United Kingdom,3,3,3,Needs Attention
10041,91,5,306.79,United Kingdom,4,2,1,Others
10042,191,6,547.5500000000001,United Kingdom,1,3,3,At Risk
10043,101,8,570.59,Austria,3,4,3,Needs Attention
10044,135,8,651.6800000000001,United Kingdom,2,4,4,Can't Lose Them
10045,139,2,121.30000000000001,Belgium,2,1,1,Hibernating
10046,174,7,703.4499999999999,United Kingdom,1,3,4,At Risk
10047,36,5,326.33,Germany,5,2,2,Potential Loyalists
10048,187,6,728.46,Australia,1,3,4,At Risk
10049,115,5,760.6899999999999,Netherlands,3,2,4,Needs Attention
10050,33,7,556.0699999999999,United Kingdom,5,3,3,Loyal Customers
10051,165,5,460.67,United Kingdom,1,2,2,Hibernating
10052,99,8,773.18,United Kingdom,4,4,4,Champions
10053,108,6,496.01,United Kingdom,3,3,3,Needs Attention
10054,71,6,454.33000000000004,United Kingdom,5,3,2,Loyal Customers
10055,42,7,432.87,United Kingdom,5,3,2,Loyal Customers
10056,123,7,320.18,United Kingdom,3,3,1,Needs Attention
10057,107,7,1024.38,United Kingdom,3,3,5,Needs Attention
10058,62,8,722.84,Germany,5,4,4,Champions
10059,168,4,346.03,Finland,1,1,2,Lost
10060,160,4,436.99,Switzerland,2,1,2,Hibernating
10061,76,9,829.73,United Kingdom,4,5,5,Champions
10062,118,8,797.18,United Kingdom,3,4,4,Needs Attention
10063,153,4,585.07,Japan,2,1,3,Others
10064,109,5,332.62,Netherlands,3,2,2,Needs Attention
10065,87,9,811.56,United Kingdom,4,5,5,Champions
10066,74,6,994.61,United Kingdom,4,3,5,Loyal Customers
10067,68,7,492.36999999999995,United Kingdom,5,3,3,Loyal Customers
10068,93,5,448.41999999999996,United Kingdom,4,2,2,Potential Loyalists
10069,171,3,173.01,Germany,1,1,1,Lost
10070,139,3,211.35,United Kingdom,2,1,1,Hibernating
10071,141,7,529.98,United Kingdom,2,3,3,At Risk
10072,70,7,867.8399999999999,United Kingdom,5,3,5,Loyal Customers
10073,220,4,211.94,Germany,1,1,1,Lost
10074,158,5,365.78,United Kingdom,2,2,2,Hibernating
10075,116,7,498.33,United Kingdom,3,3,3,Needs Attention
10076,35,3,405.12,Netherlands,5,1,2,Recent Customers
10077,25,10,593.0600000000001,United Kingdom,5,5,3,Loyal Customers
10078,61,7,727.68,United Kingdom,5,3,4,Loyal Customers
10079,154,8,657.09,United Kingdom,2,4,4,Can't Lose Them
10080,156,7,601.42,United Kingdom,2,3,3,At Risk
10081,92,3,341.18,Ireland,4,1,2,Promising
10082,149,6,391.38,Netherlands,2,3,2,At Risk
10083,87,9,637.5,United Kingdom,4,5,4,Champions
10084,39,9,1002.4300000000001,United Kingdom,5,5,5,Champions
10085,91,10,874.78,United Kingdom,4,5,5,Champions
10086,152,5,396.69,United Kingdom,2,2,2,Hibernating
10087,116,7,931.28,United Kingdom,3,3,5,Needs Attention
10088,136,10,787.73,United Kingdom,2,5,4,Can't Lose Them
10089,116,6,261.65,United Kingdom,3,3,1,Needs Attention
10090,53,6,596.9,France,5,3,3,Loyal Customers
10091,85,8,645.32,Australia,4,4,4,Champions
10092,119,7,631.22,France,3,3,4,Needs Attention
10093,186,5,375.24,United Kingdom,1,2,2,Hibernating
10094,123,5,422.82,Norway,3,2,2,Needs Attention
10095,255,5,518.84,United Kingdom,1,2,3,Others
10096,172,7,644.34,United Kingdom,1,3,4,At Risk
10097,129,2,253.20999999999998,United Kingdom,3,1,1,Others
10098,58,7,624.97,Australia,5,3,4,Loyal Customers
10099,93,5,290.72,Netherlands,4,2,1,Others
10100,105,8,1068.82,United Kingdom,3,4,5,Needs Attention
10101,57,9,493.78,France,5,5,3,Loyal Customers
10102,156,4,328.02,France,2,1,2,Hibernating
10103,114,10,710.83,Canada,3,5,4,Needs Attention
10104,62,4,148.15,United Kingdom,5,1,1,Recent Customers
10105,118,9,1063.94,United Kingdom,3,5,5,Needs Attention
10106,92,10,895.7,United Kingdom,4,5,5,Champions
10107,143,8,875.15,United Kingdom,2,4,5,Can't Lose Them
10108,78,4,317.17,United Kingdom,4,1,1,Promising
10109,122,5,269.48,France,3,2,1,Needs Attention
10110,54,7,805.09,Finland,5,3,5,Loyal Customers
10111,119,13,973.21,United Kingdom,3,5,5,Needs Attention
10112,80,7,934.86,United Kingdom,4,3,5,Loyal Customers
10113,162,5,399.87,United Kingdom,1,2,2,Hibernating
10114,77,7,767.79,United Kingdom,4,3,4,Loyal Customers
10115,44,4,254.36,United Kingdom,5,1,1,Recent Customers
10116,127,8,878.01,United Kingdom,3,4,5,Needs Attention
10117,84,6,556.68,Austria,4,3,3,Loyal Customers
10118,27,3,210.14,United Kingdom,5,1,1,Recent Customers
10119,146,3,83.84,United Kingdom,2,1,1,Hibernating
10120,70,2,218.73000000000002,France,5,1,1,Recent Customers
10121,99,7,769.73,United Kingdom,4,4,4,Champions
10122,53,2,156.57,United Kingdom,5,1,1,Recent Customers
10123,89,8,982.5,United Kingdom,4,4,5,Champions
10124,72,2,88.41,Switzerland,5,1,1,Recent Customers
10125,30,4,243.39999999999998,Portugal,5,1,1,Recent Customers
10126,77,3,179.8,United Kingdom,4,1,1,Promising
10127,149,5,798.55,United Kingdom,2,2,4,Others
10128,117,9,670.46,Italy,3,5,4,Needs Attention
10129,202,4,356.14,France,1,1,2,Lost
10130,90,7,606.34,Spain,4,4,3,Loyal Customers
10131,165,5,450.02,United Kingdom,1,2,2,Hibernating
10132,128,3,163.51,Spain,3,1,1,Others
10133,102,9,1117.37,United Kingdom,3,5,5,Needs Attention
10134,94,3,451.78999999999996,United Kingdom,4,1,2,Promising
10135,18,6,613.45,United Kingdom,5,3,3,Loyal Customers
10136,30,7,764.25,Italy,5,4,4,Champions
10137,72,11,523.91,United Kingdom,5,5,3,Loyal Customers
10138,101,4,242.02,Austria,3,1,1,Others
10139,169,4,206.07,United Kingdom,1,1,1,Lost
10140,133,3,521.85,Australia,2,1,3,Others
10141,44,4,482.90999999999997,Italy,5,1,3,Recent Customers
10142,139,5,422.97,Netherlands,2,2,2,Hibernating
10143,131,3,158.45999999999998,Germany,2,1,1,Hibernating
10144,78,8,808.41,Norway,4,4,5,Champions
10145,182,9,518.2,Switzerland,1,5,3,Can't Lose Them
10146,164,7,561.6,Germany,1,4,3,Can't Lose Them
10147,119,3,95.19,France,3,1,1,Others
10148,215,8,904.89,United Kingdom,1,4,5,Can't Lose Them
10149,185,9,780.23,United Kingdom,1,5,4,Can't Lose Them
10150,170,4,319.18,United Kingdom,1,1,1,Lost
10151,26,7,340.03,United Kingdom,5,4,2,Loyal Customers
10152,161,6,411.43,France,1,3,2,At Risk
10153,134,2,252.89999999999998,Portugal,2,1,1,Hibernating
10154,74,8,492.48,United Kingdom,4,4,3,Loyal Customers
10155,87,6,558.64,United Kingdom,4,3,3,Loyal Customers
10156,105,8,691.42,United Kingdom,3,4,4,Needs Attention
10157,190,5,556.81,United Kingdom,1,2,3,Others
10158,139,7,1115.1399999999999,United Kingdom,2,4,5,Can't Lose Them
10159,59,8,771.98,United Kingdom,5,4,4,Champions
10160,87,7,740.34,United Kingdom,4,4,4,Champions
10161,169,4,378.25,United Kingdom,1,1,2,Lost
10162,70,5,484.9,Denmark,5,2,3,Potential Loyalists
10163,39,4,704.64,United Kingdom,5,1,4,Recent Customers
10164,186,2,156.82999999999998,Spain,1,1,1,Lost
10165,195,3,420.78,United Kingdom,1,1,2,Lost
10166,163,3,444.81,France,1,1,2,Lost
10167,144,3,410.07,Ireland,2,1,2,Hibernating
10168,125,5,401.72,United Kingdom,3,2,2,Needs Attention
10169,130,3,226.63,Italy,2,1,1,Hibernating
10170,8,7,526.16,United Kingdom,5,4,3,Loyal Customers
10171,63,9,1315.49,France,5,5,5,Champions
10172,84,8,756.8,United Kingdom,4,4,4,Champions
10173,96,7,898.75,United Kingdom,4,4,5,Champions
10174,59,8,688.96,United Kingdom,5,4,4,Champions
10175,68,6,223.07,Australia,5,3,1,Loyal Customers
10176,57,8,659.21,Sweden,5,4,4,Champions
10177,256,3,185.6,Spain,1,1,1,Lost
10178,77,5,412.58,Netherlands,4,2,2,Potential Loyalists
10179,108,5,533.59,Austria,3,2,3,Needs Attention
10180,84,8,592.13,France,4,4,3,Loyal Customers
10181,85,4,117.41,Austria,4,1,1,Promising
10182,81,4,372.37,United Kingdom,4,1,2,Promising
10183,87,6,431.02,United Kingdom,4,3,2,Loyal Customers
10184,84,6,1066.7,United Kingdom,4,3,5,Loyal Customers
10185,190,4,310.77,France,1,1,1,Lost
10186,117,8,945.41,United Kingdom,3,4,5,Needs Attention
10187,139,4,144.13,Portugal,2,1,1,Hibernating
10188,99,7,485.72,United Kingdom,4,4,3,Loyal Customers
10189,66,6,368.99,Netherlands,5,3,2,Loyal Customers
10190,122,7,668.46,United Kingdom,3,4,4,Needs Attention
10191,104,7,470.82,United Kingdom,3,4,2,Needs Attention
10192,197,5,502.58000000000004,Belgium,1,2,3,Others
10193,57,5,330.23,France,5,2,2,Potential Loyalists
10194,111,3,120.46000000000001,Netherlands,3,1,1,Others
10195,150,3,93.23,Germany,2,1,1,Hibernating
10196,131,7,636.21,USA,2,4,4,Can't Lose Them
10197,101,8,562.33,Ireland,3,4,3,Needs Attention
10198,72,8,882.34,United Kingdom,5,4,5,Champions
10199,156,4,367.47,France,2,1,2,Hibernating
10200,108,6,637.2,Germany,3,3,4,Needs Attention
10201,150,6,556.06,United Kingdom,2,3,3,At Risk
10202,67,6,571.4,Germany,5,3,3,Loyal Customers
10203,115,8,798.61,United Kingdom,3,4,4,Needs Attention
10204,61,5,419.78,United Kingdom,5,2,2,Potential Loyalists
10205,52,8,512.25,Germany,5,4,3,Loyal Customers
10206,166,6,323.18,Spain,1,3,2,At Risk
10207,118,5,676.38,Finland,3,2,4,Needs Attention
10208,91,16,1351.74,United Kingdom,4,5,5,Champions
10209,88,7,508.13,United Kingdom,4,4,3,Loyal Customers
10210,153,7,418.05,United Kingdom,2,4,2,Can't Lose Them
10211,144,10,788.47,United Kingdom,2,5,4,Can't Lose Them
10212,113,3,654.45,Italy,3,1,4,Others
10213,159,4,226.31,United Kingdom,2,1,1,Hibernating
10214,98,5,486.17,United Kingdom,4,2,3,Potential Loyalists
10215,53,7,960.16,Germany,5,4,5,Champions
10216,80,5,726.54,United Kingdom,4,2,4,Potential Loyalists
10217,106,8,663.9,United Kingdom,3,4,4,Needs Attention
10218,235,3,340.49,United Kingdom,1,1,2,Lost
10219,195,4,424.1,Switzerland,1,1,2,Lost
10220,131,4,722.99,United Kingdom,2,1,4,Others
10221,105,8,741.63,United Kingdom,3,4,4,Needs Attention
10222,194,6,829.27,United Kingdom,1,3,5,At Risk
10223,86,10,1111.48,United Kingdom,4,5,5,Champions
10224,39,8,1118.33,Spain,5,4,5,Champions
10225,151,6,549.06,United Kingdom,2,3,3,At Risk
10226,110,4,271.65,Spain,3,1,1,Others
10227,100,7,754.34,France,4,4,4,Champions
10228,112,8,931.12,United Kingdom,3,4,5,Needs Attention
10229,53,6,639.78,Belgium,5,3,4,Loyal Customers
10230,133,4,373.57,United Kingdom,2,1,2,Hibernating
10231,72,6,429.85,Netherlands,5,3,2,Loyal Customers
10232,104,6,462.4,Norway,3,3,2,Needs Attention
10233,141,6,864.0699999999999,Netherlands,2,3,5,At Risk
10234,138,8,611.86,Finland,2,4,3,Can't Lose Them
10235,56,10,1146.3,United Kingdom,5,5,5,Champions
10236,113,5,350.47,United Kingdom,3,2,2,Needs Attention
10237,127,6,215.44,United Kingdom,3,3,1,Needs Attention
10238,200,6,560.27,Finland,1,3,3,At Risk
10239,10,12,1473.78,United Kingdom,5,5,5,Champions
10240,87,3,303.17,Denmark,4,1,1,Promising
10241,185,7,482.62,United Kingdom,1,4,3,Can't Lose Them
10242,93,6,662.62,Italy,4,3,4,Loyal Customers
10243,51,8,878.36,United Kingdom,5,4,5,Champions
10244,109,6,540.53,United Kingdom,3,3,3,Needs Attention
10245,150,6,425.65,United Kingdom,2,3,2,At Risk
10246,124,10,1398.32,Finland,3,5,5,Needs Attention
10247,88,5,483.02,United Kingdom,4,2,3,Potential Loyalists
10248,107,8,666.84,United Kingdom,3,4,4,Needs Attention
10249,110,3,272.09999999999997,France,3,1,1,Others
10250,41,2,107.1,Norway,5,1,1,Recent Customers
10251,83,7,643.91,United Kingdom,4,4,4,Champions
10252,201,3,300.99,United Kingdom,1,1,1,Lost
10253,70,3,279.97,Germany,5,1,1,Recent Customers
10254,54,7,741.8,Belgium,5,4,4,Champions
