respondent_id,year,country_raw,education_raw,job_role_raw,primary_language_raw,ml_tools_raw,years_experience_raw,salary_usd_raw,remote_work_raw,preferred_ide_raw,learning_platform_raw,country,education,job_role,primary_language,remote_work,years_experience,salary_usd,ml_tools_list,ml_tool_count,country_le,education_le,job_role_le,primary_language_le,remote_work_le
100000,2019,JP,high School,Data Scientist,r,None;TensorFlow,3-5,98096.00402578905,Yes,Notepad++,Blogs,Japan,High School or Less,Data Scientist,R,Yes,4.0,98096.00402578905,"['None', 'TensorFlow']",2,6,2,3,4,2
100001,2021,Brazil,,Data Engineer,sql,,5-10,117179.53386040896,No,Spyder,YouTube,Brazil,Unknown,Data Engineer,SQL,No,7.5,117179.53386040896,[],0,2,6,2,5,1
100002,2020,United States,MS,ML Engineer,JS,LightGBM;PyTorch;XGBoost,5-10,"$79,214",Y,Spyder,Kaggle,United States,Master's,ML Engineer,JavaScript,Yes,7.5,79214.0,"['LightGBM', 'PyTorch', 'XGBoost']",3,9,3,4,2,2
100003,2020,United States,Doctorate,Data Analyst,sql,Keras;None,3-5,136699.21101529888,No,JupyterLab,Coursera,United States,Doctorate,Data Analyst,SQL,No,4.0,136699.21101529888,"['Keras', 'None']",2,9,1,1,5,1
100004,2018,U.S.A.,Masters,data scientist,SQL,None,0,"$48,326",N,JupyterLab,Books,United States,Master's,Data Scientist,SQL,No,0.0,48326.0,[],0,9,3,3,5,1
100005,2018,US,ph.d,Researcher,C#,PyTorch;scikit-learn,1-3,"$92,012",N,JupyterLab,Books,United States,Doctorate,Researcher,C#,No,2.0,92012.0,"['PyTorch', 'scikit-learn']",2,9,1,6,0,1
100006,2017,JP,MSc,Software Engineer,JavaScript,LightGBM;TensorFlow,1-3,"$268,164",Yes,Notepad++,Udemy,Japan,Master's,Software Engineer,JavaScript,Yes,2.0,268164.0,"['LightGBM', 'TensorFlow']",2,6,3,7,2,2
100007,2021,UK,high School,ML Engineer,python,PyTorch,10+,138665.0800536929,Y,Notepad++,Books,United Kingdom,High School or Less,ML Engineer,Python,Yes,12.0,138665.0800536929,['PyTorch'],1,8,2,4,3,2
100008,2020,Canada,Bachelors,Software Engineer,SQL,LightGBM;TensorFlow,10+,90176.2504556421,Yes,Spyder,Blogs,Canada,Bachelor's,Software Engineer,SQL,Yes,12.0,90176.2504556421,"['LightGBM', 'TensorFlow']",2,3,0,7,5,2
100009,2020,BD,MS,ML Engineer,PYTHON,None;PyTorch,10+,,N,PyCharm,Blogs,Bangladesh,Master's,ML Engineer,Python,No,12.0,127994.21227948472,"['None', 'PyTorch']",2,1,3,4,3,1
