respondent_id,year,country_raw,education_raw,job_role_raw,primary_language_raw,ml_tools_raw,years_experience_raw,salary_usd_raw,remote_work_raw,preferred_ide_raw,learning_platform_raw
100000,2019,JP,high School,Data Scientist,r,None;TensorFlow,3-5,98096.00402578905,Yes,Notepad++,Blogs
100001,2021,Brazil,,Data Engineer,sql,,5-10,117179.53386040896,No,Spyder,YouTube
100002,2020,United States,MS,ML Engineer,JS,LightGBM;PyTorch;XGBoost,5-10,"$79,214",Y,Spyder,Kaggle
100003,2020,United States,Doctorate,Data Analyst,sql,Keras;None,3-5,136699.21101529888,No,JupyterLab,Coursera
100004,2018,U.S.A.,Masters,data scientist,SQL,None,0,"$48,326",N,JupyterLab,Books
100005,2018,US,ph.d,Researcher,C#,PyTorch;scikit-learn,1-3,"$92,012",N,JupyterLab,Books
100006,2017,JP,MSc,Software Engineer,JavaScript,LightGBM;TensorFlow,1-3,"$268,164",Yes,Notepad++,Udemy
100007,2021,UK,high School,ML Engineer,python,PyTorch,10+,138665.0800536929,Y,Notepad++,Books
100008,2020,Canada,Bachelors,Software Engineer,SQL,LightGBM;TensorFlow,10+,90176.2504556421,Yes,Spyder,Blogs
100009,2020,BD,MS,ML Engineer,PYTHON,None;PyTorch,10+,,N,PyCharm,Blogs
100010,2017,uk,Some college,Data Scientist,R,None;scikit-learn,0,,Y,JupyterLab,Coursera
100011,2021,India,Diploma/Other,Data Engineer,SQL,LightGBM;TensorFlow,4,73510.4128892617,Y,Notepad++,University
100012,2021,Bangladesh,BS,Data Analyst,R,LightGBM;None;XGBoost,10+,44918.41380967157,N,RStudio,YouTube
100013,2018,CAN,BA,ML Engineer,PYTHON,XGBoost,4,"$173,036",Yes,VS Code,Books
100014,2018,USA,Bachelors,Other,PYTHON,LightGBM;None;PyTorch,12,37467.18952320064,Yes,RStudio,University
100015,2018,Japan,Master's,Business Analyst,r,XGBoost;scikit-learn,1-3,113415.31637401039,N,JupyterLab,Books
100016,2018,JP,BA,data scientist,r,PyTorch,3-5,"$84,526",Y,VS Code,Blogs
100017,2019,United Kingdom,MS,Data Analyst,C#,Keras;LightGBM;scikit-learn,7,57962.18859026426,N,PyCharm,Udemy
100018,2019,Canada,Doctorate,Data Analyst,C#,None,7,82133.18322205597,Yes,Spyder,Kaggle
100019,2018,Nigeria,High school,data scientist,SQL,Keras;None,5-10,107550.7428853879,Yes,PyCharm,YouTube
100020,2020,U.S.A.,high School,Researcher,python,None,7,47329.68979195902,No,PyCharm,Blogs
100021,2017,Nigeria,MS,Data Analyst,r,None;XGBoost,1.5,95566.6203046174,No,Spyder,Books
100022,2018,AU,Bachelor's,Machine Learning Engineer,sql,LightGBM;None,0,152515.7835670182,Y,Spyder,University
100023,2019,USA,Bachelor's,ML Engineer,python,Keras;scikit-learn,12,"$148,020",N,PyCharm,YouTube
100024,2019,IND,High school,data scientist,JS,TensorFlow;scikit-learn,1-3,"$77,395",Yes,JupyterLab,Coursera
100025,2021,NG,Bachelor's,Machine Learning Engineer,JS,PyTorch,5-10,120042.51804487246,N,PyCharm,Blogs
100026,2018,BR,MSc,Researcher,R,LightGBM;None;PyTorch,5-10,"$58,934",Yes,VS Code,Blogs
100027,2019,Germany,BA,Student,sql,LightGBM;PyTorch,0-1,18504.709302848256,Yes,VS Code,University
100028,2020,uk,Doctorate,data scientist,R,TensorFlow,5-10,"$61,557",N,RStudio,Udemy
100029,2017,Germany,Bachelors,Machine Learning Engineer,Java,PyTorch;TensorFlow;scikit-learn,7,97606.9668250716,Yes,VS Code,Blogs
100030,2020,Brazil,Some college,Data Scientist,python,,1.5,71273.49961425735,Y,RStudio,Udemy
100031,2018,CAN,Diploma/Other,Data Scientist,PYTHON,PyTorch;scikit-learn,1.5,106299.88863517261,Hybrid,RStudio,Kaggle
100032,2017,Germany,ph.d,Business Analyst,JS,LightGBM,4,60022.17485890066,No,PyCharm,Kaggle
100033,2021,India,High school,Data Engineer,C#,LightGBM;scikit-learn,0,116729.11283163127,Yes,VS Code,YouTube
100034,2021,Nigeria,MS,Business Analyst,PYTHON,scikit-learn,7,"$94,128",Yes,PyCharm,Coursera
100035,2021,Japan,high School,Other,R,PyTorch,1-3,46460.65729975356,N,PyCharm,YouTube
100036,2018,Japan,High school,Data Engineer,python,LightGBM;PyTorch;XGBoost,12,77768.23643033461,N,JupyterLab,Kaggle
100037,2017,India,PhD,Software Engineer,R,Keras,1.5,"$112,440",No,Notepad++,Blogs
100038,2020,UK,Master's,Software Engineer,python,PyTorch;XGBoost;scikit-learn,12,88825.0676701367,Yes,VS Code,YouTube
100039,2019,India,MS,Machine Learning Engineer,PYTHON,Keras,1-3,189881.44303584294,No,JupyterLab,Kaggle
100040,2017,BD,Master's,Business Analyst,r,LightGBM;XGBoost,7,78939.64921610926,Yes,Notepad++,Books
100041,2019,Brazil,BS,Other,python,Keras;TensorFlow,1-3,57584.54763687775,Yes,Notepad++,YouTube
